R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
158,Donte DiVincenzo ,"PG,SG",MIL,60,26.9,0.421(3.7/8.8),0.729(0.8/1.1),2,10.1,5.6,3,1.1,0.2,1.4,-0.84
159,Tyler Herro ,PG,MIA,70,27,0.443(5.5/12.5),0.817(1.7/2.1),1.9,14.7,4.8,3.3,0.6,0.3,1.8,-0.86
160,T.J. Warren ,"SF,PF",IND,40,29.2,0.525(6.8/13.0),0.802(1.9/2.4),1.1,16.7,3.4,1.3,0.5,0.4,1.1,-0.86
161,Dorian Finney-Smith,"SF,PF",DAL,75,28.1,0.475(3.5/7.3),0.770(0.5/0.6),1.9,9.3,5.1,1.6,0.8,0.4,0.8,-0.92
162,Marcus Morris Sr. ,"PF,C",LAC,71,26.9,0.465(4.9/10.5),0.811(1.3/1.6),2.6,13.7,4.2,1,0.6,0.3,1,-0.93
163,Seth Curry,"PG,SG",PHI,70,29.2,0.464(4.6/9.8),0.859(1.2/1.4),2.2,12.7,2.4,2.7,0.8,0.1,1.1,-0.98
164,Tyrese Maxey,"PG,SG",PHI,72,26.8,0.463(5.5/12.0),0.850(1.7/2.0),0.8,13.6,2.9,4.5,0.7,0.3,1.2,-1
165,Markelle Fultz ,"PG,SG",ORL,46,27.3,0.428(5.1/12.0),0.876(2.1/2.4),0.5,12.9,3.1,5.4,0.9,0.3,2.3,-1.07
166,LaMarcus Aldridge,"PF,C",BRO,55,21.6,0.493(4.5/9.1),0.830(1.8/2.2),0.7,11.5,4.5,1.5,0.4,1,0.9,-1.1
167,Daniel Theis ,"PF,C",HOU,70,25.2,0.542(4.0/7.3),0.651(1.1/1.7),0.8,9.8,5.6,1.7,0.6,0.9,1,-1.13
168,Malik Beasley,"PG,SG",MIN,71,28.5,0.438(5.7/13.1),0.815(1.5/1.8),2.8,15.7,3.5,1.9,0.6,0.2,1.3,-1.18
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
169,Ricky Rubio,PG,CLE,70,22.5,0.383(2.4/6.3),0.863(1.6/1.9),0.9,7.4,2.8,5.5,1.3,0.1,1.4,-1.2
170,Nicolas Batum,"SF,PF",LAC,71,25.1,0.468(2.7/5.7),0.780(0.6/0.8),1.5,7.4,4.3,2,0.9,0.6,0.7,-1.24
171,Jeremy Lamb,"SG,SF",IND,60,20.4,0.429(3.2/7.4),0.864(1.9/2.2),1.3,9.6,3.5,1.4,0.9,0.7,0.6,-1.29
172,Josh Hart,"SG,SF",NOP,67,27,0.439(3.0/6.8),0.792(1.4/1.8),1.2,8.6,7.5,2.2,0.8,0.3,1,-1.34
173,Jae Crowder,"SF,PF",PHX,72,27.4,0.403(3.3/8.1),0.767(1.0/1.3),2.5,10,4.7,2.1,0.8,0.4,0.9,-1.4
174,Patrick Williams ,"SF,PF",CHI,68,30.2,0.487(3.9/7.9),0.732(1.4/1.9),0.9,10,4.9,1.5,1,0.6,1.5,-1.43
175,Trey Murphy III,"SG,SF",NOP,72,25.4,0.437(3.6/8.3),0.848(1.0/1.1),2,10.2,3.4,1.3,0.9,0.5,1,-1.43
176,Aaron Gordon ,"SF,PF",DEN,72,31.7,0.464(5.0/10.7),0.641(2.1/3.2),1.3,13.3,6.1,3.1,0.8,0.8,2.1,-1.48
177,Goran Dragic,"PG,SG",TOR,64,26.4,0.433(4.7/10.9),0.835(2.0/2.4),1.8,13.2,3.3,4.3,0.7,0.1,2.4,-1.54
178,Marvin Bagley III ,"PF,C",SAC,62,26.7,0.501(5.7/11.4),0.702(1.8/2.6),0.9,14.2,7.4,1,0.5,0.5,1.4,-1.55
179,Cole Anthony,PG,ORL,72,25.9,0.422(4.5/10.7),0.821(2.2/2.7),1.2,12.4,4.5,3.9,0.7,0.4,2.2,-1.6
180,Talen Horton-Tucker ,"SG,SF",LAL,76,22.2,0.467(4.2/8.9),0.748(1.8/2.4),0.7,10.8,3.1,3.3,1.2,0.4,1.9,-1.65
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
181,Eric Bledsoe,"PG,SG",LAC,76,28.1,0.421(4.5/10.7),0.715(2.0/2.8),1.8,12.7,3.6,4,1,0.3,1.7,-1.66
182,Coby White ,"PG,SG",CHI,62,25.6,0.418(4.7/11.1),0.906(1.6/1.8),2.1,13,3.3,3.7,0.5,0.2,2,-1.67
183,Andre Drummond,C,PHI,74,20.6,0.522(4.2/8.0),0.597(1.9/3.1),0,10.2,8.4,1.4,0.9,1,1.5,-1.68
184,Killian Hayes ,"PG,SG",DET,70,29.4,0.381(4.1/10.7),0.831(1.6/1.9),0.9,10.6,3,6,1.1,0.5,3.6,-1.69
185,John Wall ,PG,HOU,26,22.1,0.422(4.9/11.6),0.758(2.7/3.6),1.3,13.8,2.2,4.9,0.9,0.6,2.4,-1.7
186,Juan Toscano-Anderson,"SF,PF",GSW,68,20.1,0.543(2.3/4.3),0.732(0.4/0.6),0.7,5.8,4.5,2.8,0.8,0.5,1.2,-1.76
187,Jalen Brunson,"PG,SG",DAL,72,24,0.522(4.6/8.8),0.820(1.7/2.1),1.2,12.1,3.3,3.4,0.5,0,1.2,-1.78
188,Devin Vassell,SG,SAS,75,22.1,0.431(3.0/7.0),0.883(1.0/1.1),1.4,8.4,3.9,1.3,1,0.4,0.6,-1.84
189,Scottie Barnes,SF,TOR,74,26.9,0.451(4.5/10.0),0.646(0.8/1.3),0.4,10.3,4.4,3.3,1.2,0.5,2,-1.85
190,Rui Hachimura ,"SF,PF",WAS,70,31,0.473(5.5/11.6),0.786(2.2/2.9),0.8,14,5.6,1.4,0.8,0.1,1.2,-1.86
191,Monte Morris ,"PG,SG",DEN,70,26.4,0.478(4.2/8.7),0.817(1.3/1.5),1.2,10.7,2.1,3.3,0.7,0.3,0.7,-1.87
192,Kevin Love,"PF,C",CLE,30,22.2,0.406(3.6/9.0),0.848(1.5/1.8),2,10.8,6.6,2.2,0.5,0.1,1.3,-1.9
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
193,Oshae Brissett,"SF,PF",IND,60,19.2,0.486(2.7/5.5),0.774(1.9/2.4),1.2,8.5,4.2,0.7,0.7,0.8,0.4,-1.92
194,Otto Porter Jr.,"SF,PF",GSW,69,23.1,0.432(3.7/8.6),0.868(1.4/1.6),1.5,10.3,5.8,2.1,0.6,0.1,1,-1.94
195,Alec Burks,"SG,SF",NYK,67,23.1,0.422(3.9/9.2),0.871(1.9/2.2),1.9,11.5,4.2,2,0.5,0.3,0.9,-1.94
196,Josh Richardson,"SG,SF",BOS,68,24.8,0.428(3.8/8.8),0.947(1.4/1.5),1.3,10.2,2.8,2.2,0.8,0.3,1.1,-1.98
197,Justin Holiday ,"SG,SF",IND,78,27.1,0.414(3.2/7.8),0.755(0.8/1.1),2.1,9.4,3.1,1.5,0.9,0.5,0.7,-1.99
198,Kelly Oubre Jr. ,"SG,SF",CHA,74,26.2,0.439(4.9/11.2),0.688(1.9/2.7),1.4,13.1,5.1,1.1,0.9,0.7,1.1,-2.06
199,Nicolas Claxton,C,BRO,67,20.8,0.622(3.2/5.1),0.500(1.1/2.3),0,7.4,5.8,1,0.8,1.5,0.7,-2.1
200,Gary Trent Jr.,"SG,SF",TOR,70,31.1,0.408(5.3/13.0),0.776(1.4/1.7),2.7,14.7,2.6,1.4,1,0.2,0.7,-2.1
201,Cameron Johnson,"SF,PF",PHX,72,26.7,0.424(3.8/9.0),0.804(0.9/1.1),2.2,10.8,3.8,1.6,0.7,0.3,0.8,-2.14
202,Enes Kanter,C,BOS,60,18.4,0.602(3.3/5.4),0.781(1.3/1.6),0,7.8,7.7,0.8,0.4,0.5,0.8,-2.18
203,Lonnie Walker IV ,"SG,SF",SAS,74,28.1,0.434(5.8/13.3),0.835(1.1/1.3),2.2,14.8,2.9,1.9,0.6,0.3,1.2,-2.18
204,Isaac Okoro,SG,CLE,76,34.1,0.436(4.2/9.7),0.736(2.0/2.7),1.2,11.7,3.6,2.2,1.1,0.5,1.5,-2.19
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
205,Blake Griffin ,"PF,C",BRO,68,25.5,0.427(3.8/8.8),0.761(1.9/2.5),1.5,10.9,4.8,3,0.7,0.3,1.3,-2.2
206,Doug McDermott,"SF,PF",SAS,74,27.1,0.499(5.6/11.2),0.801(1.3/1.7),1.7,14.2,3.7,1.4,0.3,0.1,0.9,-2.29
207,Immanuel Quickley,PG,NYK,74,21.8,0.396(4.1/10.2),0.891(2.7/3.0),2,12.8,2.4,2.3,0.6,0.2,1,-2.32
208,Eric Gordon ,"SG,SF",HOU,60,24.9,0.434(4.8/11.1),0.831(2.9/3.4),2.1,14.6,1.8,2.1,0.4,0.4,1.6,-2.35
209,Delon Wright,"PG,SG",ATL,68,18.4,0.464(2.5/5.4),0.803(1.1/1.3),0.7,6.8,2.9,2.9,1.1,0.3,0.9,-2.36
210,Xavier Tillman,"PF,C",MEM,67,20,0.549(3.0/5.5),0.663(0.7/1.0),0.4,7.2,4.7,1.4,0.8,0.7,0.9,-2.36
211,Kevin Huerter,"SG,SF",ATL,74,24,0.434(3.6/8.2),0.786(0.6/0.7),1.6,9.3,2.6,2.7,0.9,0.2,0.9,-2.44
212,Shake Milton ,"PG,SG",PHI,71,23.6,0.453(4.9/10.7),0.820(2.3/2.8),1.1,13.2,2.3,3.1,0.6,0.3,1.6,-2.44
213,Naz Reid,C,MIN,76,18,0.518(4.0/7.7),0.665(1.5/2.2),0.8,10.5,4.3,0.9,0.5,1,0.9,-2.52
214,Bruce Brown,SG,BRO,74,20.1,0.554(3.2/5.8),0.722(1.2/1.6),0.3,7.9,4.9,1.4,0.8,0.4,0.7,-2.6
215,Davis Bertans,"PF,C",WAS,65,23.2,0.405(3.1/7.6),0.900(1.6/1.8),2.7,10.3,2.7,0.8,0.5,0.2,0.5,-2.61
216,Reggie Bullock ,"SG,SF",DAL,74,25.7,0.442(3.3/7.4),0.896(0.7/0.8),2.1,9.3,2.9,1.3,0.7,0.2,0.6,-2.61
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
217,Kendrick Nunn ,"PG,SG",LAL,74,20.1,0.483(3.9/8.0),0.907(0.7/0.8),1.5,10,2.2,1.8,0.7,0.2,1,-2.67
218,Jeff Green ,"SF,PF",DEN,70,26.4,0.487(3.7/7.6),0.748(1.8/2.3),1.5,10.7,3.8,1.6,0.5,0.4,0.8,-2.75
219,Kenrich Williams ,"SF,PF",OKL,60,20.7,0.532(3.2/5.9),0.594(0.6/1.0),0.8,7.7,3.9,2.2,0.9,0.3,1.2,-2.85
220,Rudy Gay ,"SF,PF",UTA,68,18.9,0.419(3.7/8.8),0.814(1.1/1.4),1.5,10,4.2,1.2,0.6,0.5,0.9,-2.87
221,Luguentz Dort ,"SG,SF",OKL,70,29.1,0.391(4.7/12.0),0.750(2.3/3.1),2.2,13.7,3.5,1.7,0.9,0.4,1.5,-2.98
222,Wayne Ellington ,"SG,SF",LAL,69,26.2,0.433(3.6/8.3),0.756(0.7/0.9),2.8,10.7,2.2,1.7,0.5,0.2,0.8,-3.05
223,Pat Connaughton,"SG,SF",MIL,71,22.5,0.429(2.4/5.5),0.831(0.5/0.6),1.5,6.7,4.7,1.2,0.7,0.3,0.5,-3.06
224,KJ Martin Jr.,SF,HOU,62,20.1,0.507(3.1/6.0),0.683(1.1/1.6),0.7,7.9,4.6,0.9,0.6,0.8,0.7,-3.06
225,Gabe Vincent,PG,MIA,68,14.2,0.428(2.1/4.9),0.800(0.4/0.5),1.3,5.8,1.3,2.5,1.3,0,0.2,-3.07
226,Trevor Ariza ,"SG,SF",LAL,38,20.1,0.437(2.6/6.0),0.795(0.9/1.1),1.3,7.4,3.6,1.3,0.7,0.4,0.5,-3.09
227,Steven Adams,C,MEM,68,25.8,0.621(3.1/4.9),0.435(0.9/2.1),0,7.1,8.3,1.8,0.8,0.7,1.3,-3.09
228,DeMarcus Cousins,"PF,C",FA,50,15.4,0.432(2.8/6.6),0.701(1.2/1.8),1.1,7.9,5.7,1.7,0.7,0.5,1.4,-3.1
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
229,JaVale McGee,C,PHX,62,15.4,0.508(3.2/6.3),0.665(1.0/1.6),0.1,7.5,5.4,0.8,0.4,1.2,1.3,-3.13
230,Jaxson Hayes ,C,NOP,67,16.1,0.617(2.9/4.7),0.800(1.6/2.0),0.1,7.5,4.3,0.6,0.4,0.6,0.7,-3.14
231,Jarred Vanderbilt ,"PF,C",MIN,69,15.8,0.596(2.1/3.5),0.573(0.9/1.5),0,5.1,5.4,1.2,1,0.7,0.8,-3.17
232,Davion Mitchell,SG,SAC,70,22.1,0.440(2.9/6.5),0.721(0.8/1.1),1.3,7.8,1.4,3,1.2,0.1,1.8,-3.18
233,Payton Pritchard ,PG,BOS,74,20.8,0.445(3.1/6.9),0.857(0.7/0.8),1.8,8.6,2.6,2.1,0.7,0.1,0.9,-3.21
234,Cody Zeller ,C,POR,68,18.2,0.559(3.3/5.9),0.719(1.6/2.2),0.1,8.2,5.9,1.6,0.5,0.4,0.9,-3.24
235,Tony Bradley ,C,CHI,72,15.1,0.660(2.9/4.3),0.692(0.8/1.2),0,6.5,5.3,0.8,0.4,0.7,0.7,-3.26
236,Raul Neto,PG,WAS,63,18.4,0.472(2.8/5.9),0.917(1.0/1.1),0.8,7.3,2,1.9,0.9,0.1,0.7,-3.27
237,Taurean Prince,"SF,PF",MIN,70,20.1,0.400(2.9/7.2),0.842(1.4/1.7),1.3,8.5,3.1,1.7,0.6,0.6,1,-3.27
238,Tomas Satoransky,"PG,SG",NOP,70,19.4,0.509(2.5/4.9),0.858(1.0/1.2),0.6,6.6,2.1,4,0.6,0.2,1.5,-3.29
239,Alex Caruso,"PG,SG",CHI,70,21.7,0.434(2.4/5.5),0.619(0.8/1.3),1,6.6,3,2.9,1.1,0.3,1.3,-3.3
240,Kentavious Caldwell-Pope,"PG,SG",WAS,64,22.4,0.439(2.6/5.9),0.881(1.2/1.3),1.4,7.7,2.1,1.5,0.7,0.3,0.8,-3.3
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
241,Kevon Looney,"PF,C",GSW,69,22.4,0.563(2.1/3.8),0.656(0.6/0.9),0.1,4.9,6.2,2.2,0.5,0.5,0.7,-3.32
242,James Wiseman ,C,GSW,48,22.2,0.515(5.0/9.7),0.636(1.4/2.3),0.3,11.8,5.9,0.7,0.3,0.9,1.5,-3.32
243,Chris Duarte,SG,IND,71,19.2,0.445(2.7/6.1),0.807(0.9/1.1),1.5,7.9,2.6,1.5,0.8,0.4,2.1,-3.43
244,DeAndre Jordan,C,LAL,62,18.2,0.750(2.7/3.6),0.500(0.7/1.3),0,6,6.1,1.3,0.2,0.9,1.2,-3.45
245,Dwight Howard,C,LAL,74,22.5,0.591(2.7/4.5),0.602(1.9/3.1),0.1,7.3,8.7,0.9,0.4,0.9,1.6,-3.47
246,Deni Avdija,"SG,SF",WAS,68,25.1,0.421(3.2/7.6),0.684(0.7/1.0),1.1,8.1,5.2,2.1,0.7,0.3,0.7,-3.47
247,Ty Jerome,"PG,SG",OKL,51,19.2,0.448(3.1/7.0),0.800(0.6/0.8),1.8,8.6,2.3,3,0.5,0.2,1.1,-3.5
248,Furkan Korkmaz,"SG,SF",PHI,71,20.5,0.402(3.3/8.2),0.736(1.2/1.6),1.9,9.7,2.2,1.6,1,0.2,0.9,-3.56
249,Patty Mills,PG,BRO,76,22.4,0.422(3.4/8.1),0.833(0.9/1.1),2.5,10.3,1.5,2.2,0.5,0,0.9,-3.58
250,Cedi Osman,"SF,PF",CLE,72,24.1,0.374(3.5/9.3),0.812(1.2/1.5),1.6,9.7,3.2,2.7,0.8,0.2,1.3,-3.59
251,Paul Millsap,"PF,C",BRO,58,14.9,0.477(2.7/5.7),0.821(1.5/1.8),0.7,7.6,3.8,1.1,0.6,0.4,0.9,-3.61
252,Malachi Flynn,PG,TOR,74,19.9,0.417(3.3/7.9),0.802(1.0/1.2),1.2,8.7,2.5,2.9,0.8,0.1,0.9,-3.66
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
253,Franz Wagner,"SG,SF",ORL,70,21.4,0.456(3.0/6.5),0.785(0.8/1.1),1,7.8,2.9,1.6,0.7,0.4,1.1,-3.68
254,Dewayne Dedmon ,C,MIA,68,16,0.589(2.3/3.9),0.769(1.2/1.6),0.1,6,5.1,0.8,0.6,0.4,0.8,-3.72
255,Jordan McLaughlin ,PG,MIN,64,18.1,0.417(2.0/4.7),0.831(0.5/0.6),0.7,4.9,2.1,3.7,1,0.1,1,-3.74
256,Darius Bazley ,"SF,PF",OKL,70,30,0.397(4.8/12.1),0.718(2.2/3.1),1.4,13.2,6.9,1.7,0.5,0.5,2.1,-3.75
257,Cory Joseph,PG,DET,68,18.9,0.470(2.6/5.6),0.783(0.9/1.2),0.6,6.7,2.1,2.8,0.8,0.3,1,-3.8
258,Carmelo Anthony,"SF,PF",LAL,72,20.5,0.417(3.5/8.3),0.870(1.5/1.7),1.4,9.8,2.3,1.1,0.5,0.4,0.7,-3.83
259,Cam Reddish,"SG,SF",ATL,68,22.1,0.393(2.8/7.1),0.821(2.0/2.4),1,8.6,3,1,1,0.2,1,-3.92
260,Precious Achiuwa,"SF,PF",TOR,70,25.5,0.547(4.2/7.7),0.545(1.8/3.4),0,10.2,6.9,1,0.6,1,1.4,-3.93
261,Kira Lewis Jr,PG,NOP,69,21.1,0.386(3.0/7.8),0.885(1.0/1.1),0.9,8,1.6,2.9,0.9,0.3,0.8,-3.98
262,Theo Maledon,PG,OKL,69,25.4,0.383(3.2/8.5),0.769(1.5/2.0),1.5,9.5,3.1,3.2,0.7,0.2,2,-4
263,Onyeka Okongwu ,"PF,C",ATL,20,14.1,0.632(2.2/3.5),0.636(0.8/1.3),0,5.4,3.9,0.5,0.6,0.8,0.7,-4.03
264,Tre Mann ,SG,OKL,68,18.4,0.419(3.3/7.9),0.809(0.9/1.1),1.3,8.8,3.1,2,0.8,0.1,1.8,-4.07
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
265,Malik Monk ,"PG,SG",LAL,69,20.4,0.432(3.7/8.6),0.818(1.3/1.5),1.8,10.5,2.2,1.9,0.5,0.1,1.2,-4.18
266,Maxi Kleber,"PF,C",DAL,70,18.1,0.418(1.7/4.1),0.852(0.5/0.6),1.3,5.2,3.9,1,0.4,0.5,0.4,-4.21
267,Anfernee Simons ,"PG,SG",POR,73,21.3,0.412(3.2/7.8),0.775(0.9/1.1),2.3,9.6,2.7,1.7,0.4,0.1,0.9,-4.21
268,JaMychal Green ,"PF,C",DEN,70,17.1,0.462(2.7/5.8),0.798(0.7/0.9),1.2,7.2,4.3,0.8,0.4,0.4,0.8,-4.23
269,Khyri Thomas,SG,HOU,26,12.4,0.450(2.4/5.4),0.753(0.7/1.0),0.7,6.3,1.5,2,0.7,0.5,0.5,-4.27
270,Patrick Beverley ,"PG,SG",MIN,60,16.1,0.415(1.8/4.3),0.835(0.7/0.9),1.1,5.3,2.3,1.5,0.6,0.6,0.6,-4.27
271,Luke Kennard,"SG,SF",LAC,66,20.5,0.470(3.2/6.9),0.808(0.4/0.5),1.7,8.6,2.7,1.8,0.3,0.1,0.8,-4.27
272,Hassan Whiteside,"PF,C",UTA,72,16.8,0.563(3.5/6.2),0.502(1.1/2.2),0,8,5.9,0.6,0.3,1.3,1.1,-4.35
273,Austin Rivers,"PG,SG",DEN,68,23.1,0.426(2.8/6.7),0.670(0.6/0.9),1.5,7.7,2.3,2.3,0.8,0.1,1,-4.37
274,P.J. Tucker ,"PF,C",MIA,77,27.1,0.382(1.4/3.5),0.808(0.4/0.5),0.8,3.8,4.1,1.3,0.7,0.4,0.8,-4.39
275,Goga Bitadze,C,IND,54,12.5,0.432(1.9/4.3),0.710(1.0/1.4),0.5,5.2,3.4,0.8,0.2,1.4,0.4,-4.42
276,Taj Gibson,"PF,C",NYK,30,13.8,0.629(1.5/2.3),0.750(0.6/0.8),0.1,3.6,3.7,0.5,0.5,0.7,0.3,-4.46
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
277,Ish Smith,PG,CHA,71,17.4,0.446(3.1/6.9),0.697(0.6/0.9),0.6,7.4,2.2,3.4,0.6,0.3,1,-4.47
278,Grayson Allen,"SG,SF",MIL,60,16.4,0.422(2.3/5.4),0.889(1.0/1.2),1.4,6.9,2.1,1.4,0.6,0.1,0.7,-4.5
279,Obi Toppin,"SF,PF",NYK,73,18.1,0.501(2.8/5.6),0.742(0.5/0.7),0.7,6.8,3.6,0.8,0.5,0.3,0.7,-4.52
280,Lou Williams ,"PG,SG",ATL,50,17.4,0.408(3.2/7.9),0.885(1.9/2.1),0.9,9.1,1.7,2.7,0.6,0.1,1.3,-4.53
281,D.J. Augustin,PG,HOU,68,18.5,0.400(2.2/5.6),0.880(1.4/1.6),1.4,7.2,1.6,3.1,0.5,0,1,-4.62
282,Mike Muscala,"PF,C",OKL,52,15.8,0.447(2.9/6.5),0.894(0.8/0.9),1.6,8.2,3.2,0.7,0.2,0.3,0.5,-4.66
283,Kent Bazemore,"SG,SF",LAL,46,17.1,0.444(2.0/4.5),0.768(0.9/1.1),0.9,5.7,2.6,0.9,0.7,0.5,0.9,-4.68
284,Josh Jackson,"SG,SF",DET,60,18.2,0.421(3.4/8.1),0.740(1.9/2.5),0.9,9.6,2.9,1.6,0.6,0.6,1.6,-4.7
285,Landry Shamet,"PG,SG",PHX,70,20.2,0.413(2.7/6.6),0.851(1.0/1.1),1.8,8.2,1.6,1.4,0.4,0.2,0.7,-4.72
286,Naji Marshall,SF,NOP,56,15.9,0.408(1.8/4.5),0.738(1.4/1.9),0.7,5.8,3.8,2.3,0.7,0.2,1,-4.74
287,Rajon Rondo,PG,LAL,40,12.4,0.438(2.1/4.8),0.667(0.4/0.6),0.8,5.4,2.4,3.5,0.7,0.1,1.7,-4.78
288,David Nwaba,"SG,SF",HOU,50,16.3,0.485(2.5/5.2),0.695(1.1/1.6),0.4,6.6,2.8,0.7,0.7,0.5,0.4,-4.82
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
289,George Hill,"PG,SG",MIL,70,17.8,0.485(2.5/5.2),0.763(1.0/1.4),0.8,6.9,1.6,1.9,0.6,0.2,0.8,-4.82
290,Tyus Jones,PG,MEM,70,14,0.424(2.0/4.7),1.000(0.5/0.5),0.5,5,1.6,2.9,0.7,0.1,0.6,-4.84
291,Josh Okogie ,"SG,SF",MIN,68,19.2,0.401(1.6/4.0),0.776(1.3/1.7),0.5,5,2.6,1,0.9,0.5,0.7,-4.85
292,Aaron Nesmith,"SG,SF",BOS,66,19.1,0.444(2.3/5.3),0.800(0.7/0.9),1.2,6.6,3.8,0.7,0.4,0.3,0.7,-4.85
293,Hamidou Diallo,"SG,SF",DET,70,20.8,0.477(3.8/7.9),0.640(2.2/3.4),0.4,10.2,4.6,1.7,0.7,0.4,1.3,-4.89
294,Jonathan Kuminga ,"SF,PF",GSW,69,18.4,0.425(3.0/7.2),0.643(0.6/1.0),0.7,7.4,3.4,1,0.7,0.5,1.3,-4.97
295,Moe Harkless,"SF,PF",SAC,70,19.1,0.423(1.7/4.1),0.752(0.8/1.1),0.6,4.7,2.2,1.1,0.7,0.6,0.6,-4.99
296,R.J. Hampton,PG,ORL,64,22.8,0.446(3.5/7.8),0.683(1.4/2.0),0.6,9,4.5,2.1,0.5,0.2,1.4,-5.02
297,Torrey Craig,"SG,SF",IND,62,13.1,0.489(1.8/3.7),0.727(0.2/0.3),0.7,4.5,3.2,0.8,0.5,0.4,0.4,-5.02
298,Isaiah Hartenstein,PF,FA,50,12.1,0.541(2.0/3.6),0.662(1.0/1.5),0,5,3.8,1.2,0.4,0.8,1,-5.03
299,Gorgui Dieng,"PF,C",ATL,44,10.4,0.513(1.6/3.0),0.835(1.1/1.3),0.6,4.8,2.6,0.9,0.5,0.3,0.6,-5.04
300,Jeff Teague,"PG,SG",MIL,70,16.5,0.423(2.1/5.0),0.845(1.5/1.8),0.7,6.4,1.5,2.3,0.6,0.2,1.1,-5.11
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
301,Alex Len,"PF,C",SAC,36,13.2,0.626(2.3/3.7),0.610(0.9/1.5),0.1,5.7,3.4,0.7,0.3,0.9,0.8,-5.14
302,Terence Davis,"SG,SF",SAC,61,14.6,0.426(2.6/6.2),0.784(0.6/0.7),1.3,7.2,2.1,1.2,0.6,0.2,0.8,-5.19
303,Markieff Morris ,"PF,C",MIA,74,19.4,0.403(2.5/6.1),0.747(0.6/0.8),1.1,6.6,4.3,1.2,0.4,0.3,0.9,-5.22
304,Saben Lee,PG,DET,40,15.4,0.476(2.0/4.2),0.683(1.2/1.8),0.2,5.3,1.9,3.4,0.7,0.3,1,-5.31
305,Nassir Little ,SF,POR,68,17.2,0.457(2.1/4.5),0.888(1.0/1.2),0.8,6,3.5,0.7,0.1,0.4,0.5,-5.33
306,Moses Moody,SF,GSW,65,17.1,0.418(2.8/6.7),0.800(0.9/1.2),1,7.5,2.3,1,0.5,0.3,0.9,-5.34
307,Derrick Jones Jr.,"SG,SF",CHI,70,18.1,0.479(2.0/4.1),0.627(0.8/1.3),0.6,5.3,2.8,0.6,0.5,0.7,0.5,-5.44
308,Bones Hyland,"PG,SG",DEN,68,18.5,0.413(2.7/6.5),0.711(0.6/0.9),1.5,7.5,1.8,1,0.8,0.1,1.4,-5.47
309,Andre Iguodala,"SG,SF",GSW,30,13.6,0.431(1.2/2.7),0.667(0.2/0.3),0.5,3,2.4,1.6,0.5,0.7,0.9,-5.48
310,Bismack Biyombo,C,FA,68,19.4,0.594(2.1/3.5),0.437(0.7/1.5),0,4.7,5,1.1,0.3,1,1,-5.48
311,Willie Cauley-Stein,"PF,C",DAL,61,14.2,0.649(1.8/2.8),0.600(0.8/1.3),0,4.4,3.7,0.6,0.3,0.7,0.4,-5.51
312,James Bouknight,SG,CHA,68,17.2,0.453(2.8/6.2),0.695(0.9/1.3),1.1,7.6,3.1,0.4,0.7,0.1,1.5,-5.61
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
313,Max Strus,SG,MIA,55,16.7,0.459(2.8/6.2),0.662(0.5/0.8),1.7,7.8,1.4,0.8,0.4,0.1,0.3,-5.61
314,Moses Brown,C,DAL,50,12.4,0.540(2.0/3.7),0.619(1.0/1.7),0,5,5.2,0.1,0.4,0.6,0.6,-5.61
315,Nemanja Bjelica,PF,GSW,47,14.4,0.473(2.3/4.9),0.781(0.9/1.1),0.6,6.1,3,1.7,0.4,0.1,0.8,-5.62
316,JJ Redick,SG,FA,60,17.1,0.394(2.5/6.3),0.919(1.1/1.2),1.6,7.7,1.6,1.2,0.3,0.1,0.8,-5.62
317,Eric Paschall,"PF,C",UTA,68,17.9,0.493(3.8/7.7),0.710(1.7/2.5),0.5,9.7,3.3,1.3,0.3,0.2,1.1,-5.64
