R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
141,Terrence Ross,"SG,SF",ORL,68,28.4,0.410(5.3/12.9),0.866(2.5/2.9),1.8,15.1,3.4,2.3,1,0.5,1.6,-0.51
142,Isaiah Roby ,C,OKL,72,24.2,0.485(4.0/8.2),0.757(1.7/2.2),0.6,10.1,6.4,2.1,1,0.7,2.2,-0.53
143,Facundo Campazzo,PG,DEN,73,26.1,0.394(2.3/5.7),0.856(1.4/1.7),1.4,7.4,2.4,4.3,1.4,0.2,1.3,-0.59
144,Josh Giddey,"PG,SG",OKL,70,29.8,0.413(4.2/10.2),0.691(0.9/1.4),1.1,10.5,6.8,4.3,1.2,0.5,3,-0.59
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
145,Royce O'Neale,"SF,PF",UTA,75,31.4,0.446(2.5/5.6),0.857(0.6/0.7),1.5,7,6.8,2.5,0.8,0.5,1.2,-0.59
146,Bojan Bogdanovic,"SF,PF",UTA,78,30.7,0.434(5.6/12.9),0.864(3.2/3.7),2.5,16.9,3.9,1.9,0.6,0.1,1.8,-0.59
147,Victor Oladipo ,"SG,SF",MIA,35,26.5,0.422(5.5/13.1),0.763(2.5/3.3),1.9,15.5,3.9,3.7,1.1,0.3,2,-0.61
148,Duncan Robinson ,"SG,SF",MIA,80,30,0.440(4.2/9.5),0.905(0.9/1.0),3.3,12.5,3.3,1.7,0.6,0.3,1.1,-0.65
149,Danilo Gallinari ,"SF,PF",ATL,65,22.6,0.430(3.8/8.8),0.941(3.0/3.2),1.9,12.5,4,1.4,0.6,0.2,0.8,-0.66
150,Brandon Clarke,"SF,PF",MEM,70,24,0.511(4.3/8.4),0.683(1.3/1.9),0.3,10.3,5.6,1.6,1,0.9,0.6,-0.67
151,Serge Ibaka ,"PF,C",LAC,64,22,0.505(4.2/8.4),0.844(1.0/1.2),0.9,10.4,6.3,1.7,0.2,1,1,-0.67
152,Tim Hardaway Jr. ,"SG,SF",DAL,77,30.2,0.446(6.2/13.8),0.801(2.1/2.7),3.2,17.7,3.5,1.9,0.4,0.2,1,-0.68
153,Alperen Sengun,C,HOU,70,20.8,0.531(4.1/7.8),0.796(1.7/2.1),0.5,10.5,6.4,1.2,0.6,0.9,1.9,-0.69
154,Lauri Markkanen,"PF,C",CLE,68,27.4,0.477(4.9/10.3),0.834(1.5/1.8),2.2,13.6,5.3,0.9,0.5,0.3,1,-0.77
155,Terance Mann,SF,LAC,76,25.7,0.483(4.2/8.6),0.856(1.9/2.2),1,11.2,5.5,2.5,0.6,0.3,0.9,-0.77
156,Devonte' Graham,"PG,SG",NOP,70,28.5,0.378(4.3/11.3),0.825(2.2/2.7),3,13.7,2.5,5,0.8,0.1,1.4,-0.79
R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
157,Cameron Payne,"PG,SG",PHX,72,20.5,0.486(3.7/7.7),0.877(0.9/1.1),1.4,9.8,2.8,4.2,0.7,0.4,1.2,-0.83
